"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Cff1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"C";;;
2;"Cboot1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
3;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
4;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"INPUT";;;
5;"Rff1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R";;;
6;"RFDB1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"13k";;;
7;"U1";"WSON_SDRRR_TEX";1;"LMR51450SDRRR";;;
8;"RFBT1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"110k";;;
9;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"OUTPUT";;;
10;"Lout1";"L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC";1;"8.2uH";;;
11;"Cout1";"C_1808_4520Metric_Pad1.72x2.30mm_HandSolder";1;"C";;;
